filepath,label,original_source_path,source_dataset,source_url,license_or_usage_note,width,height,sha256
E:\ML Latest Assignment\ML Latest Assignment\scripts\..\dataset\screen\DS-05-R%EOS600D%EA232WMI%D40-015.png,screen,E:\ML Latest Assignment\ML Latest Assignment\scripts\..\dataset\raw\icl\RecapturedImages\RecapturedImages\600D\DS-05-R%EOS600D%EA232WMI%D40-015.png,ICL_Dataset,,Academic use only,2130,1420,98873f7e3467463f35a5362926cc4158c11def2fae6895806bb131fd71fc028a
E:\ML Latest Assignment\ML Latest Assignment\scripts\..\dataset\screen\DS-05-R%EOS600D%EA232WMI%D40-016.png,screen,E:\ML Latest Assignment\ML Latest Assignment\scripts\..\dataset\raw\icl\RecapturedImages\RecapturedImages\600D\DS-05-R%EOS600D%EA232WMI%D40-016.png,ICL_Dataset,,Academic use only,2130,1420,90733d52af61d87a7bc0441962d9c0f3c68ff22e5bd26de752c0552106704ceb
E:\ML Latest Assignment\ML Latest Assignment\scripts\..\dataset\screen\DS-05-R%EOS600D%EA232WMI%D40-017.png,screen,E:\ML Latest Assignment\ML Latest Assignment\scripts\..\dataset\raw\icl\RecapturedImages\RecapturedImages\600D\DS-05-R%EOS600D%EA232WMI%D40-017.png,ICL_Dataset,,Academic use only,2130,1420,ee8304b492ef93e3fa6296c506ae76742e37e056d8c53299f08b8c40f8aa9622
E:\ML Latest Assignment\ML Latest Assignment\scripts\..\dataset\screen\DS-05-R%EOS600D%EA232WMI%D40-018.png,screen,E:\ML Latest Assignment\ML Latest Assignment\scripts\..\dataset\raw\icl\RecapturedImages\RecapturedImages\600D\DS-05-R%EOS600D%EA232WMI%D40-018.png,ICL_Dataset,,Academic use only,2130,1420,416751101d3523c314b20df0c33f325bfdbca22a94a4366ae72e4cb8ae85931b
E:\ML Latest Assignment\ML Latest Assignment\scripts\..\dataset\screen\DS-05-R%EOS600D%EA232WMI%D40-019.png,screen,E:\ML Latest Assignment\ML Latest Assignment\scripts\..\dataset\raw\icl\RecapturedImages\RecapturedImages\600D\DS-05-R%EOS600D%EA232WMI%D40-019.png,ICL_Dataset,,Academic use only,2130,1420,bb4c262837b41417f8003bd3daff90d9fb313f6479f368e970c6964eb1fcbac5
E:\ML Latest Assignment\ML Latest Assignment\scripts\..\dataset\screen\DS-05-R%EOS600D%EA232WMI%D40-020.png,screen,E:\ML Latest Assignment\ML Latest Assignment\scripts\..\dataset\raw\icl\RecapturedImages\RecapturedImages\600D\DS-05-R%EOS600D%EA232WMI%D40-020.png,ICL_Dataset,,Academic use only,2130,1420,68ab933987b3b79f059816cc44d7bd2ee4f2fd6bc03efa3fc53040ba6c58097c
E:\ML Latest Assignment\ML Latest Assignment\scripts\..\dataset\screen\DS-05-R%EOS600D%EA232WMI%D40-021.png,screen,E:\ML Latest Assignment\ML Latest Assignment\scripts\..\dataset\raw\icl\RecapturedImages\RecapturedImages\600D\DS-05-R%EOS600D%EA232WMI%D40-021.png,ICL_Dataset,,Academic use only,2130,1420,44d5ca825b8332d6759518fb9a08f11b3e5497914e05b7d98d87cba2e8330856
E:\ML Latest Assignment\ML Latest Assignment\scripts\..\dataset\screen\DS-05-R%EOS600D%EA232WMI%D40-022.png,screen,E:\ML Latest Assignment\ML Latest Assignment\scripts\..\dataset\raw\icl\RecapturedImages\RecapturedImages\600D\DS-05-R%EOS600D%EA232WMI%D40-022.png,ICL_Dataset,,Academic use only,2130,1420,8eb0a9ce95fe777fb2ed3cc86b29fb030b037d723a3875706f8f1b1958856619
E:\ML Latest Assignment\ML Latest Assignment\scripts\..\dataset\screen\DS-05-R%EOS600D%EA232WMI%D40-023.png,screen,E:\ML Latest Assignment\ML Latest Assignment\scripts\..\dataset\raw\icl\RecapturedImages\RecapturedImages\600D\DS-05-R%EOS600D%EA232WMI%D40-023.png,ICL_Dataset,,Academic use only,2130,1420,356775b1d2ddfc970938b74dc8fdd064af99898c1ad10f57401d344b80fe05f7
E:\ML Latest Assignment\ML Latest Assignment\scripts\..\dataset\screen\DS-05-R%EOS600D%EA232WMI%D40-024.png,screen,E:\ML Latest Assignment\ML Latest Assignment\scripts\..\dataset\raw\icl\RecapturedImages\RecapturedImages\600D\DS-05-R%EOS600D%EA232WMI%D40-024.png,ICL_Dataset,,Academic use only,2130,1420,925cde58f3ffdf8d7b66a4f67df34abe313f75e9b70753a1d549a9c0be117726
