Feature,Importance
fft_hf_ratio,0.49725837
brightness,0.071401715
laplacian_var,0.04455587
v_freq_peak,0.041194227
bezel_score,0.040919278
blockiness,0.04035655
paper_texture,0.04002848
compression_diff,0.03910771
contrast,0.025398131
h_freq_peak,0.02393455
glare_patch_size,0.017679626
banding_score,0.017443657
local_fft_hf,0.015454753
saturation,0.0140899
diag_freq_peak,0.014045281
rect_contour_score,0.013239527
moire_score,0.0129020745
edge_density,0.0128862085
glare_ratio,0.012412694
sobel_mean,0.0056914124
perspective_score,0.0
